YEAR,FACILITY NAME,STREET ADDRESS,CITY,COUNTY,STATE,ZIP,addresses,LATITUDE,LONGITUDE,FEDERAL FACILITY,INDUSTRY SECTOR,CHEMICAL,CLEAN AIR ACT CHEMICAL,CLASSIFICATION,METAL,METAL CATEGORY,CARCINOGEN,PROD_RATIO_OR_ ACTIVITY,PARENT CO NAME
2018,SCHILLER STATION,400 GOSLING RD,PORTSMOUTH,ROCKINGHAM,NH,03801,400 GOSLING RD PORTSMOUTH NH 3801,43.09726,-70.783801,NO,Electric Utilities,NAPHTHALENE,YES,TRI,NO,0,YES,PRODUCTION,GSP SCHILLER LLC
2018,FREUDENBERG-NOK SEALING TECHNOLOGIES,450 PLEASANT ST,BRISTOL,GRAFTON,NH,03222,450 PLEASANT ST BRISTOL NH 3222,43.585476,-71.750525,NO,Miscellaneous Manufacturing,METHANOL,YES,TRI,NO,0,NO,PRODUCTION,FREUDENBERG-NOK GENERAL PTNR
2018,COLT REFINING INC,12A STAR DR,MERRIMACK,HILLSBOROUGH,NH,03054,12A STAR DR MERRIMACK NH 3054,42.83251,-71.48772,NO,Primary Metals,LEAD,YES,PBT,YES,1,YES,PRODUCTION,NA
2018,COORSTEK IGNITER PRODUCTS,47 POWERS ST,MILFORD,HILLSBOROUGH,NH,03055,47 POWERS ST MILFORD NH 3055,42.82781,-71.637598,NO,Electrical Equipment,NICKEL,YES,TRI,YES,1,YES,PRODUCTION,NA
2018,HITCHINER MANUFACTURING CO INC (AUTOMATED CASTING FACILITY),1 SCARBOROUGH LN,MILFORD,HILLSBOROUGH,NH,03055,1 SCARBOROUGH LN MILFORD NH 3055,42.83577,-71.70675,NO,Primary Metals,CHROMIUM,YES,TRI,YES,1,NO,PRODUCTION,HITCHINER MANUFACTURING CO INC
2018,TIMKEN AEROSPACE( MPB CORP DBA) LEBANON,336 MECHANIC ST,LEBANON,GRAFTON,NH,03766,336 MECHANIC ST LEBANON NH 3766,43.638521,-72.285855,NO,Fabricated Metals,METHANOL,YES,TRI,NO,0,NO,PRODUCTION,THE TIMKEN CO
2018,SIG SAUER INC,72 PEASE BLVD,NEWINGTON,ROCKINGHAM,NH,03801,72 PEASE BLVD NEWINGTON NH 3801,43.087945,-70.811239,NO,Fabricated Metals,MANGANESE,YES,TRI,YES,1,NO,PRODUCTION,NA
2018,PSI MOLDED PLASTICS FORMERLY KNOWN AS GI PLASTEK,5 WICKERS DR,WOLFEBORO,CARROLL,NH,03894,5 WICKERS DR WOLFEBORO NH 3894,43.60513,-71.212805,NO,Plastics and Rubber,LEAD,YES,PBT,YES,1,YES,PRODUCTION,PSI MOLDED PLASTICS NEW HAMPSHIRE INC
2018,KALWALL CORP FLAT SHEE T DIV,168 RIVER RD,BOW,MERRIMACK,NH,03304,168 RIVER RD BOW NH 3304,43.14775,-71.48759,NO,Plastics and Rubber,PROPYLENE,NO,TRI,NO,0,NO,PRODUCTION,KALWALL CORP
2018,GORHAM PAPER & TISSUE LLC,72 CASCADE FLATS,GORHAM,COOS,NH,03581,72 CASCADE FLATS GORHAM NH 3581,44.443738,-71.187308,NO,Paper,POLYCYCLIC AROMATIC COMPOUNDS,YES,PBT,NO,0,YES,PRODUCTION,PATRIARCH PARTNERS LLC
